"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Torch","PHB'14","153","none","Adventuring Gear","","","","","1 lb.","1 CP","A torch burns for 1 hour, providing bright light in a 20-foot radius and dim light for an additional 20 feet. If you make a melee attack with a burning torch and hit, it deals 1 fire damage."
"Torch","PHB'24","229","none","Adventuring Gear","","","","","1 lb.","1 CP","A Torch burns for 1 hour, casting Bright Light in a 20-foot radius and Dim Light for an additional 20 feet. When you take the Attack action, you can attack with the Torch, using it as a Simple Melee weapon. On a hit, the target takes 1 Fire damage."
"Torpor","DMG'14","258","none","Adventuring Gear, Poison (Ingested)","","","","","","600 GP","A creature subjected to this poison must succeed on a DC 15 Constitution saving throw or become poisoned for 4d6 hours. The poisoned creature is incapacitated."
"Torpor","DMG'24","91","none","Adventuring Gear, Poison (Ingested)","","","","","","600 GP","A creature subjected to Torpor poison must succeed on a DC 15 Constitution saving throw or have the Poisoned condition for 4d6 hours. The creature's Speed is halved while the creature is Poisoned in this way."
"Totem","PHB'14","151","none","Spellcasting Focus","","","","","","1 GP","A Druidic Focus takes a specific form and is carved, tied with ribbon, or painted to channel primal magic. A Druid or Ranger can use such an object as a Spellcasting Focus."
"Tourmaline","DMG'14","134","none","Treasure (Gemstone)","","","","","","100 GP","A transparent pale green, blue, brown, or red gemstone."
"Tourmaline","DMG'24","214","none","Treasure (Gemstone)","","","","","","100 GP","A pale green, blue, brown, or red gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Tower Shield","GH:PG'24","127","none","Advanced Equipment","","","","","50 lb.","200 GP","This large shield provides more protection than a typical shield. While wielding a Tower Shield, you gain +3 to Armor Class. If you use an action to set the Tower Shield, you have Three-Quarters Cover until the start of your next turn. Additionally, your Speed becomes 0 and cannot be increased during that time.To wield a Tower Shield, you must have a Strength of at least 15 and your Speed is reduced by 10 feet while wielding the shield. Advanced Equipment[–] The brilliant engineers and crafters who designed and built Etharis's highly advanced weapons and ammunition did not stop there. Other inventions of war—and of peace—became invaluable to the soldiers, guards, and adventurers of Etharis.Some pieces of Advanced equipment, such as the corrupting Shadowsteel Focus, need special training to fully employ. Other items, like the Retractable Shield, are usable by anyone proficient with shields. And many other pieces of equipment are usable by anyone—though few would be able to afford and maintain these mechanical, alchemical, or even magical marvels.As they are expensive and difficult to make, access to Advanced equipment is limited—maybe even as limited as some magic items. The largest cities, or locations housing master crafters, may only have a few items of Advanced equipment."
"Traveler's Clothes","PHB'14","150","none","Adventuring Gear","","","","","4 lb.","2 GP",""
"Traveler's Clothes","PHB'24","225","none","Adventuring Gear","","","","","4 lb.","2 GP","Traveler's Clothes are resilient garments designed for travel in various environments."
"Traveler's Guide","HWT","158","none","Adventuring Gear","","","","","2 lb.","25 GP","These handy books contain detailed information on a single large city or notable destination chosen by the GM. Most of these guides were written by Jonall, though some were written by other notable explorers. A traveler's guide allows you to add your proficiency bonus to any Intelligence checks you make related to the destination it details."
"Traveler's Lantern","HWT","158","none","Adventuring Gear","","","","","1 lb.","12 GP","This compact hooded lantern features a large metal ring on its top, allowing it to be affixed to a belt, sash, or similar article of clothing while still providing light. The lantern sheds bright light in a 15-foot radius and dim light for an additional 15 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil. As an action, you can lower the hood, reducing the light to dim light in a 5-foot radius."
"Treasure Rat","WEL","51","none","Adventuring Gear","","","","","","","When you open the door to this white-furred, red-eyed rat's cage, they point their nose in the direction of the nearest magic item, if any, within 30 feet of them that isn't being worn or carried by another creature. They continue pointing their nose at that item for 1 minute or until you shut the cage door. After pointing at a magic item, the rat refuses to do so again until they consume a piece of cheese worth at least 10 gp."
"Treasure chest crafted of exotic wood with gold fittings and opals (Brazen Coalition)","PSX","25","none","Treasure (Art Object)","","","","","","7,500 GP",""
"Trident","PHB'14","149","none","Weapon, Martial Weapon, Melee Weapon","","1d6 Piercing","thrown (20/60 ft.), versatile (1d8)","","4 lb.","5 GP","Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Trident","PHB'24","215","none","Weapon, Martial Weapon, Melee Weapon","","1d8 Piercing","Thrown (20/60 ft.), Versatile (1d10)","Mastery: Topple","4 lb.","5 GP","Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Versatile. A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack. Mastery: Topple. If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition."
"Trinket","AI","222","none","Adventuring Gear","","","","","","","Worried that you're going to pull out your dead sprite inside a clear glass bottle at a company function only to discover that three other people in the franchise have one as well? Then consider rolling on the Acquisitions Incorporated Trinkets table instead of the table in chapter 5 of the Player's Handbook, to gain a unique trinket at character creation with a bit of Acq Inc flair.Acquisitions Incorporated Trinketsd100Trinket1A perfect skipping stone2Three weighted dice that always roll low3A locket with a picture of Jim Darkmagic4A tiny anvil and smith's hammer5A nonfunctional immovable rod6A DIY acupuncture kit7A stuffed owlbear toy8A diagram for a new war lute9A declaration of war against a nation no one has ever heard of10A pipe that emits green smoke11A glass eye12The centerpiece of a priceless chandelier13A fine cane with a secret compartment14A letter written by Rosie Beestinger15A coin that always lands on its edge16The deed and title to an abandoned windmill and three acres of tillable land that you've never been able to find17A menu from Big Daddy Donaar's Yum Yum Hut18A small purse that screams loudly when opened19A deep-crow-feather quill20A pair of breeches that always smells faintly of honey21A one-armed Viari doll (Apocalypse Dagger accessory missing)22A leather pouch filled with various finger bones of unknown provenance23The collar of your childhood pet, Nutmeg24A seashell that, when pressed to the ear, speaks in flowing rhymes25A recipe book for cooking with mushrooms26One expired coupon for ""A Free Cornerstone""27A portable beehive28Goggles that literally tint everything rose colored29A wand of wonder that allows you to cast only mending30A bracelet woven from mistletoe31A curved claw from an unknown beast that small children are always frightened of32A longsword that can be folded down in 1 minute and hidden in your pocket33A living graft of what you believe to be the World Tree34A tattered scarf with the Acquisitions Incorporated logo35A box containing a torn-up letter36An old contract marked ""Void""37A small pigeon in a cage38An Acquisitions Incorporated ""Green Flame"" foam finger39A ""C"" Team lunchbox40A potted plant that grows different fruit on every branch41A book of adventures for children42An Omin action figure with detachable maul and holy symbol43A pint glass engraved with a picture of a keg robot44A giant hockey puck45A miniature cannon that actually fires46A very fancy red scarf and matching handkerchief47An arrow once shot by Môrgæn48A purple worm toy49A burned doll whose eyes follow you around the room50An infinite inkwell51A band embroidered with the symbol of the Six52A squishy cactus53A velvet blindfold54A dirty figurine of a triceratops that can't be cleaned55A used (and thus nonmagical) noble knife from the Noble Knife56A quill that rotates through all the colors of the rainbow57A twenty-sided die that only rolls the number 458A pointed hat that glows in the dark59A cup that hums when filled with water60A mug fashioned from the skull of someone else's enemy61A small glass jar containing an immortal firefly62A fake mustache made from gnome facial hair63A petrified troll finger64Half of a map65The other half of a map66An unreasonable amount of pocket lint67A dozen flyers for a local gnome food place68Omin Dran's business card69A lock of hair from a changeling70A marble that rolls uphill71A piece of parchment listing a command word for a powerful magic item72A book titled Conversational Giant73A user's manual for an apparatus of Kwalish74A signed head shot of famous bard Spice Caraway75The eye of a basilisk in a crystal box76A postcard from Ravnica77A stamp collection78A small piece of solidified smoke79A six-sided die that sometimes rolls a seven80A left-hand gauntlet81A music box that plays nursery rhymes82A locket that's bigger on the outside than the inside83A potted plant that grows hair instead of leaves84A collection of teeth85A coin whose minting date always shows three years in the future86A green drinking horn taken from a very large bull87A small book containing pressed and dried botanical samples88A hatched chimera egg89A slightly used red bandit mask90A tiny stirge encased in amber91A large bottle of Red Larch Ale that can't be opened92A cane topped with a stylized golden bulldog93A note in your own hand that you don't remember writing94A sprig of herbs from your family's garden95A tankard stolen from the Dran & Courtier96A small, severed tentacle preserved in alcohol97A walnut with a face drawn on it98A small flask of liquid from the Lake of Radiant Mists99An ice cube that never melts00An expertly carved sword hilt with the blade snapped cleanly off"
